pred_num,pred_true_num,score
1933,9,0.47066551
1933,10,0.47120786
1933,11,0.47175021
1933,12,0.47229257
1933,13,0.47283492
1933,14,0.47337727
1933,15,0.47391962
1933,16,0.47446197
1933,17,0.47500432
1933,18,0.47554667
1933,19,0.47608902
1933,20,0.47663137
1933,21,0.47717372
1933,22,0.47771607
1933,23,0.47825843
1933,24,0.47880078
1933,25,0.47934313
1933,26,0.47988548
1933,27,0.48042783
1933,28,0.48097018
1933,29,0.48151253
1933,30,0.48205488
1933,31,0.48259723
1933,32,0.48313958
1933,33,0.48368193
1933,34,0.48422429
1933,35,0.48476664
1933,36,0.48530899
1933,37,0.48585134
1934,0,0.46576580
1934,1,0.46630789
1934,2,0.46684999
1934,3,0.46739208
1934,4,0.46793418
1934,5,0.46847627
1934,6,0.46901836
1934,7,0.46956046
1934,8,0.47010255
1934,9,0.47064465
1934,10,0.47118674
1934,11,0.47172884
1934,12,0.47227093
1934,13,0.47281303
1934,14,0.47335512
1934,15,0.47389722
1934,16,0.47443931
1934,17,0.47498140
1934,18,0.47552350
1934,19,0.47606559
1934,20,0.47660769
1934,21,0.47714978
1934,22,0.47769188
1934,23,0.47823397
1934,24,0.47877607
1934,25,0.47931816
1934,26,0.47986026
1934,27,0.48040235
1934,28,0.48094445
1934,29,0.48148654
1934,30,0.48202863
1934,31,0.48257073
1934,32,0.48311282
1934,33,0.48365492
1934,34,0.48419701
1934,35,0.48473911
1934,36,0.48528120
1934,37,0.48582330
1935,0,0.46574724
1935,1,0.46628908
1935,2,0.46683092
1935,3,0.46737275
1935,4,0.46791459
1935,5,0.46845643
1935,6,0.46899827
1935,7,0.46954011
1935,8,0.47008195
1935,9,0.47062378
1935,10,0.47116562
1935,11,0.47170746
1935,12,0.47224930
1935,13,0.47279114
1935,14,0.47333298
1935,15,0.47387482
1935,16,0.47441665
1935,17,0.47495849
1935,18,0.47550033
1935,19,0.47604217
1935,20,0.47658401
1935,21,0.47712585
1935,22,0.47766769
1935,23,0.47820952
1935,24,0.47875136
1935,25,0.47929320
1935,26,0.47983504
1935,27,0.48037688
1935,28,0.48091872
1935,29,0.48146055
1935,30,0.48200239
1935,31,0.48254423
1935,32,0.48308607
1935,33,0.48362791
1935,34,0.48416975
1935,35,0.48471159
1935,36,0.48525342
1935,37,0.48579526
1936,0,0.46572868
1936,1,0.46627026
1936,2,0.46681184
1936,3,0.46735343
1936,4,0.46789501
1936,5,0.46843659
1936,6,0.46897817
1936,7,0.46951976
1936,8,0.47006134
1936,9,0.47060292
1936,10,0.47114451
1936,11,0.47168609
1936,12,0.47222767
1936,13,0.47276925
1936,14,0.47331084
1936,15,0.47385242
1936,16,0.47439400
1936,17,0.47493558
1936,18,0.47547717
1936,19,0.47601875
1936,20,0.47656033
1936,21,0.47710191
1936,22,0.47764350
1936,23,0.47818508
1936,24,0.47872666
1936,25,0.47926825
1936,26,0.47980983
1936,27,0.48035141
1936,28,0.48089299
1936,29,0.48143458
1936,30,0.48197616
1936,31,0.48251774
1936,32,0.48305932
1936,33,0.48360091
1936,34,0.48414249
1936,35,0.48468407
1936,36,0.48522565
1936,37,0.48576724
1937,0,0.46571012
1937,1,0.46625144
1937,2,0.46679277
1937,3,0.46733410
1937,4,0.46787543
1937,5,0.46841675
1937,6,0.46895808
1937,7,0.46949941
1937,8,0.47004073
1937,9,0.47058206
1937,10,0.47112339
1937,11,0.47166472
1937,12,0.47220604
1937,13,0.47274737
1937,14,0.47328870
1937,15,0.47383002
1937,16,0.47437135
1937,17,0.47491268
1937,18,0.47545401
1937,19,0.47599533
1937,20,0.47653666
1937,21,0.47707799
1937,22,0.47761931
1937,23,0.47816064
1937,24,0.47870197
1937,25,0.47924330
1937,26,0.47978462
1937,27,0.48032595
1937,28,0.48086728
1937,29,0.48140860
1937,30,0.48194993
1937,31,0.48249126
1937,32,0.48303259
1937,33,0.48357391
1937,34,0.48411524
1937,35,0.48465657
1937,36,0.48519789
1937,37,0.48573922
1938,0,0.46569155
1938,1,0.46623263
1938,2,0.46677370
1938,3,0.46731477
1938,4,0.46785584
1938,5,0.46839691
1938,6,0.46893799
